a3,z_min,z_max
6.738255033557047358e-02,1.996159641507282492e-02,1.979387648971140112e-01
6.798657718120805493e-02,2.004826177217092914e-02,1.956487507343563637e-01
6.859060402684563629e-02,2.013137225171908809e-02,1.933570641983786420e-01
6.919463087248323152e-02,2.021126802380147566e-02,1.910677400916518942e-01
6.979865771812081288e-02,2.028727844269194100e-02,1.887702533462706500e-01
7.040268456375839423e-02,2.035917930960580088e-02,1.864647764566171040e-01
7.100671140939597559e-02,2.042714971860337334e-02,1.841665961428603226e-01
7.161073825503355694e-02,2.049061514164140368e-02,1.818586861616836026e-01
7.221476510067115218e-02,2.055154646036939231e-02,1.795318764207858020e-01
7.281879194630873353e-02,2.060374904039965691e-02,1.772296849295055543e-01
7.342281879194631489e-02,2.065297800824656901e-02,1.749095314498252673e-01
7.402684563758389624e-02,2.069751860023561971e-02,1.725818009317370005e-01
7.463087248322147760e-02,2.073638777232533759e-02,1.702509836387383069e-01
7.523489932885905895e-02,2.076969239127304800e-02,1.679102597367919669e-01
7.583892617449664031e-02,2.079654030718224716e-02,1.655619742281647655e-01
7.644295302013423554e-02,2.081753706946023671e-02,1.632091297362621984e-01
7.704697986577181690e-02,2.083217099699257932e-02,1.608482854106364490e-01
7.765100671140939825e-02,2.084137114063237470e-02,1.584785146269990508e-01
7.825503355704697961e-02,2.084263002737929762e-02,1.560996526271524465e-01
7.885906040268456096e-02,2.083702598640699982e-02,1.537116872150806890e-01
7.946308724832215620e-02,2.082410784335062340e-02,1.513155702012196624e-01
8.006711409395973755e-02,2.080448829553940490e-02,1.489009964903076910e-01
8.067114093959731891e-02,2.077475536851369417e-02,1.464911089780855658e-01
8.127516778523490026e-02,2.073769569683201267e-02,1.440651712629864856e-01
8.187919463087248162e-02,2.069199878069935550e-02,1.416267577895796714e-01
8.248322147651006297e-02,2.063746787370331764e-02,1.391751398988612942e-01
8.308724832214765821e-02,2.057364286587429203e-02,1.367125057260578092e-01
8.369127516778523956e-02,2.050011453108442627e-02,1.342180645247328941e-01
8.429530201342282092e-02,2.041637864812329006e-02,1.317494626580591743e-01
8.489932885906040227e-02,2.032293691475616990e-02,1.292450978455398636e-01
8.550335570469798363e-02,2.021885759335460483e-02,1.267317525902738329e-01
8.610738255033557886e-02,2.010343931761233993e-02,1.242013789145447328e-01
8.671140939597316022e-02,1.997638625499187012e-02,1.216541695475927415e-01
